"Part";"Value";"Device";"Package";"Description";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"POPULARITY";"SPICEPREFIX";
"+9V";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";"52";"";
"C1";"100n";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"C";
"C2";"47p";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"C";
"C3";"100n";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"C";
"C4";"47p";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"C";
"C5";"1u";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"C";
"C6";"4n7";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"C";
"C7";"47u";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"C";
"C8";"100n";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"C";
"C9";"100n";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"C";
"C10";"100n";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"C";
"C11";"3n3";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"C";
"C12";"3n3";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"C";
"C13";"100n";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"C";
"C14";"100n";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"C";
"C15";"4n7";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"C";
"C16";"10n";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"C";
"C17";"1u";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"C";
"C18";"1u";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"C";
"C19";"4n7";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"C";
"C20";"47u";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"C";
"C21";"100n";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"C";
"C22";"100n";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"C";
"C23";"100n";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"C";
"C24";"3n3";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"C";
"C25";"3n3";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"C";
"C26";"100n";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"C";
"C27";"100n";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"C";
"C28";"4n7";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"C";
"C29";"10n";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"C";
"C30";"1u";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"C";
"C31";"1u";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"C";
"C32";"4n7";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"C";
"C33";"47u";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"C";
"C34";"100n";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"C";
"C35";"100n";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"C";
"C36";"100n";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"C";
"C37";"3n3";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"C";
"C38";"3n3";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"C";
"C39";"100n";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"C";
"C40";"100n";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"C";
"C41";"4n7";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"C";
"C42";"10n";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"C";
"C43";"1u";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"C";
"C44";"100p";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"C";
"C45";"1u";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"C";
"C46";"100p";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"C";
"C47";"1u";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"C";
"C48";"100u";"CPOL-USE2.5-6";"E2,5-6";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";"";"14";"C";
